,Unnamed: 0,Location_Code,Latitude,Longitude,Economic_Need_Index,Percent_ELL,Percent_Asian,Percent_Black,Percent_Hispanic,Percent_Black_Hispanic,Percent_White,Student_Attendance_Rate,Percent_of_Students_Chronically_Absent,Rigorous_Instruction_Per,Collaborative_Teachers_Per,Supportive_Environment_Per,Strong_Family_Community_Ties_Per,Total_Proficiency_Average,SA_Rating_Exceeding_Target,SA_Rating_Meeting_Target,SA_Rating_Not_Meeting_Target,Community_School_Yes,Grades
19,19,01M378,40.720185,-73.985957,0.764,0.08,0.15,0.22,0.58,0.81,0.02,0.92,0.27,0.79,0.87,0.82,0.76,2.41,1,0,0,0,"06,07,08"
20,20,01M450,40.729153000000004,-73.982474,0.61,0.01,0.11,0.21,0.53,0.74,0.12,0.97,0.05,0.92,0.95,0.92,0.88,2.86,1,0,0,0,"06,07,08,09,10,11,12"
21,21,01M539,40.7195,-73.979239,0.257,0.0,0.33,0.09,0.11,0.2,0.42,0.97,0.03,0.81,0.73,0.85,0.81,3.93,1,0,0,0,"0K,01,02,03,04,05,06,07,08,09,10,11,12"
22,22,01M839,40.723746999999996,-73.981602,0.597,0.03,0.23,0.16,0.37,0.53,0.2,0.96,0.07,0.9,0.89,0.88,0.83,2.965,1,0,0,0,"06,07,08"
23,23,02M001,40.712561,-73.997474,0.769,0.25,0.64,0.12,0.22,0.34,0.01,0.95,0.18,0.89,0.91,0.95,0.87,2.865,1,0,0,0,"PK,0K,01,02,03,04,05"
24,24,02M002,40.712943,-73.991557,0.858,0.36,0.85,0.04,0.09,0.13,0.01,0.98,0.06,0.93,0.86,0.94,0.83,2.995,0,1,0,0,"PK,0K,01,02,03,04,05"
25,25,02M003,40.732632,-74.00594699999998,0.17600000000000002,0.04,0.07,0.05,0.12,0.18,0.7,0.95,0.13,0.97,0.93,0.97,0.96,3.25,0,1,0,0,"PK,0K,01,02,03,04,05"
26,26,02M006,40.777703,-73.96042800000002,0.10099999999999999,0.02,0.13,0.02,0.07,0.09,0.75,0.96,0.05,0.87,0.9,0.95,0.92,3.555,1,0,0,0,"0K,01,02,03,04,05"
27,27,02M011,40.744549,-74.000737,0.293,0.03,0.14,0.07,0.25,0.32,0.49,0.96,0.1,0.93,0.93,0.98,0.93,3.2350000000000003,0,1,0,0,"PK,0K,01,02,03,04,05"
28,28,02M033,40.748945,-74.00024300000003,0.43,0.04,0.25,0.12,0.3,0.42,0.26,0.96,0.13,0.97,0.9,0.94,0.92,3.22,0,1,0,0,"PK,0K,01,02,03,04,05"
29,29,02M040,40.735118,-73.981697,0.153,0.03,0.09,0.03,0.13,0.16,0.64,0.96,0.07,0.97,0.94,0.99,0.96,3.52,1,0,0,0,"PK,0K,01,02,03,04,05"
30,30,02M041,40.735526,-73.999113,0.066,0.02,0.09,0.02,0.1,0.11,0.69,0.97,0.02,0.95,0.96,0.98,0.95,3.5700000000000003,1,0,0,0,"PK,0K,01,02,03,04,05"
31,31,02M042,40.716136,-73.990841,0.785,0.27,0.93,0.0,0.04,0.04,0.02,0.98,0.02,0.91,0.94,0.96,0.85,3.245,1,0,0,0,"PK,0K,01,02,03,04,05"
32,32,02M051,40.761593,-73.99559,0.626,0.09,0.24,0.12,0.42,0.55,0.2,0.94,0.15,0.9,0.95,0.97,0.89,2.69,1,0,0,0,"0K,01,02,03,04,05"
33,33,02M059,40.759213,-73.966183,0.075,0.04,0.15,0.02,0.13,0.15,0.59,0.96,0.06,0.87,0.87,0.95,0.94,3.43,1,0,0,0,"0K,01,02,03,04,05"
34,34,02M077,40.785014000000004,-73.95003100000002,0.069,0.0,0.27,0.0,0.05,0.06,0.59,0.97,0.01,0.93,0.96,0.98,0.95,3.82,1,0,0,0,"0K,01,02,03,04,05"
35,35,02M089,40.716867,-74.013623,0.068,0.04,0.16,0.02,0.14,0.16,0.62,0.96,0.06,0.95,0.94,0.98,0.93,3.47,1,0,0,0,"PK,0K,01,02,03,04,05"
36,36,02M104,40.735735,-73.980611,0.522,0.05,0.4,0.08,0.21,0.29,0.28,0.96,0.11,0.87,0.89,0.85,0.7,3.15,1,0,0,0,"06,07,08"
37,37,02M111,40.76583400000001,-73.989602,0.645,0.12,0.18,0.16,0.5,0.66,0.13,0.92,0.26,0.89,0.79,0.81,0.88,2.43,0,1,0,0,"PK,0K,01,02,03,04,05"
38,38,02M114,40.780646000000004,-73.947544,0.10400000000000001,0.0,0.15,0.03,0.09,0.12,0.66,0.98,0.02,0.92,0.96,0.92,0.82,3.8,1,0,0,0,"06,07,08"
39,39,02M116,40.744425,-73.977634,0.307,0.11,0.2,0.09,0.22,0.3,0.44,0.95,0.14,0.92,0.92,0.95,0.9,3.12,0,1,0,0,"0K,01,02,03,04,05"
40,40,02M124,40.714426,-73.995526,0.578,0.29,0.95,0.0,0.03,0.03,0.01,0.98,0.02,0.83,0.77,0.94,0.8,3.325,1,0,0,0,"PK,0K,01,02,03,04,05"
41,41,02M126,40.710448,-73.997001,0.728,0.17,0.59,0.11,0.21,0.32,0.08,0.96,0.1,0.91,0.93,0.91,0.82,3.1100000000000003,1,0,0,0,"PK,0K,01,02,03,04,05,06,07,08"
42,42,02M130,40.718819,-73.998263,0.616,0.13,0.88,0.01,0.05,0.06,0.03,0.99,0.02,0.98,0.97,0.97,0.9,3.35,1,0,0,0,"PK,0K,01,02,03,04,05"
43,43,02M131,40.716213,-73.993555,0.8370000000000001,0.35,0.77,0.08,0.14,0.22,0.0,0.97,0.09,0.86,0.92,0.91,0.78,2.755,1,0,0,0,"06,07,08"
44,44,02M150,40.718083,-74.010942,0.196,0.02,0.16,0.05,0.14,0.19,0.55,0.95,0.05,0.95,0.9,0.96,0.95,3.4000000000000004,1,0,0,0,"PK,0K,01,02,03,04,05"
45,45,02M151,40.777924,-73.947316,0.3670000000000001,0.07,0.07,0.14,0.27,0.41,0.47,0.94,0.16,0.96,0.96,0.93,0.92,3.015,0,1,0,0,"0K,01,02,03,04,05"
46,46,02M158,40.770203,-73.95073000000002,0.11,0.05,0.11,0.04,0.1,0.14,0.71,0.96,0.08,0.96,0.87,0.96,0.89,3.615,1,0,0,0,"PK,0K,01,02,03,04,05"
47,47,02M167,40.771827,-73.95794000000002,0.36,0.04,0.28,0.08,0.19,0.27,0.42,0.96,0.09,0.85,0.89,0.87,0.76,3.21,1,0,0,0,"06,07,08"
48,48,02M177,40.770203,-73.95073000000002,0.271,0.01,0.11,0.11,0.3,0.4,0.42,0.96,0.09,0.99,0.99,0.88,0.92,3.36,0,1,0,0,"06,07,08"
49,49,02M183,40.763762,-73.957759,0.07400000000000001,0.06,0.17,0.04,0.1,0.14,0.66,0.96,0.07,0.85,0.94,0.94,0.93,3.325,1,0,0,0,"0K,01,02,03,04,05"
50,50,02M198,40.785014000000004,-73.95003100000002,0.365,0.07,0.16,0.1,0.27,0.37,0.45,0.94,0.19,0.89,0.9,0.86,0.95,2.85,0,1,0,0,"PK,0K,01,02,03,04,05"
51,51,02M212,40.761328999999996,-73.98866899999999,0.2,0.02,0.1,0.06,0.23,0.29,0.48,0.96,0.05,0.93,0.98,0.97,0.97,3.295,0,1,0,0,"0K,01,02,03,04,05"
52,52,02M217,40.763969,-73.948468,0.293,0.07,0.29,0.16,0.14,0.3,0.36,0.95,0.1,0.93,0.95,0.89,0.89,2.955,0,1,0,0,"PK,0K,01,02,03,04,05,06,07,08"
53,53,02M225,40.765368,-73.959696,0.429,0.03,0.04,0.19,0.37,0.56,0.35,0.92,0.26,0.91,0.91,0.93,0.95,2.73,0,1,0,0,"PK,0K,01,02,03,04,05,06,07,08"
54,54,02M234,40.716096,-74.011765,0.065,0.01,0.11,0.01,0.08,0.1,0.7,0.96,0.06,0.92,0.9,0.97,0.94,3.4,1,0,0,0,"0K,01,02,03,04,05"
55,55,02M255,40.735118,-73.981697,0.131,0.0,0.19,0.03,0.09,0.13,0.63,0.97,0.05,0.93,0.97,0.95,0.88,3.69,1,0,0,0,"06,07,08"
56,56,02M260,40.736114,-73.992352,0.23600000000000002,0.01,0.14,0.06,0.1,0.16,0.65,0.97,0.02,0.91,0.9,0.9,0.87,3.365,1,0,0,0,"06,07,08"
57,57,02M267,40.763853999999995,-73.963813,0.049,0.04,0.11,0.02,0.07,0.09,0.78,0.96,0.07,0.94,0.96,0.95,0.91,3.225,0,1,0,0,"0K,01,02,03,04,05"
58,58,02M276,40.706563,-74.017528,0.114,0.02,0.21,0.04,0.11,0.15,0.56,0.96,0.08,0.92,0.94,0.88,0.9,3.24,0,1,0,0,"0K,01,02,03,04,05,06,07,08"
59,59,02M289,40.716867,-74.013623,0.313,0.01,0.38,0.08,0.13,0.21,0.38,0.97,0.02,0.91,0.97,0.82,0.84,3.22,0,1,0,0,"06,07,08"
60,60,02M290,40.775137,-73.952812,0.064,0.03,0.11,0.01,0.09,0.1,0.73,0.96,0.06,0.92,0.96,0.97,0.93,3.56,1,0,0,0,"0K,01,02,03,04,05"
61,61,02M312,40.74257100000001,-74.002371,0.308,0.01,0.47,0.02,0.07,0.1,0.34,0.98,0.02,0.88,0.91,0.9,0.85,3.78,1,0,0,0,"06,07,08"
62,62,02M347,40.738621,-73.981534,0.812,0.06,0.04,0.22,0.46,0.68,0.23,0.92,0.29,0.82,0.68,0.91,0.82,2.275,0,1,0,0,"PK,0K,01,02,03,04,05,06,07,08"
63,63,02M397,40.711057000000004,-74.005361,0.059000000000000004,0.02,0.14,0.03,0.12,0.15,0.58,0.96,0.06,0.97,0.93,0.97,0.94,3.435,1,0,0,0,"0K,01,02,03,04,05,06,07,08"
64,64,02M407,40.732676,-73.982576,0.258,0.0,0.07,0.16,0.16,0.32,0.55,0.96,0.13,0.94,0.98,0.9,0.89,3.115,0,0,0,0,"06,07,08,09,10,11,12"
65,65,02M408,40.761328999999996,-73.98866899999999,0.33,0.0,0.05,0.23,0.2,0.43,0.44,0.96,0.09,0.9,0.86,0.84,0.75,3.41,1,0,0,0,"06,07,08,09,10,11,12"
66,66,02M413,40.739095,-73.985349,0.358,0.01,0.15,0.11,0.29,0.4,0.37,0.97,0.06,0.88,0.96,0.88,0.76,3.13,0,1,0,0,"06,07,08,09,10,11,12"
67,67,02M422,40.743368,-74.00254699999998,0.406,0.03,0.11,0.19,0.35,0.54,0.29,0.95,0.11,0.83,0.79,0.82,0.8,2.85,0,1,0,0,"06,07,08,09,10,11,12"
68,68,02M442,40.73854,-73.989485,0.46799999999999997,0.0,0.36,0.25,0.16,0.41,0.19,0.96,0.07,0.98,0.98,0.92,0.84,3.43,1,0,0,0,"04,05,06,07,08"
69,69,02M655,40.783283000000004,-73.945937,0.765,0.06,0.05,0.31,0.6,0.91,0.02,0.9,0.3,0.9,0.9,0.77,0.65,2.095,0,0,0,0,"06,07,08,09,10,11,12"
70,70,02M896,40.705442,-74.012888,0.564,0.08,0.4,0.09,0.2,0.29,0.27,0.96,0.08,0.84,0.93,0.9,0.85,2.825,0,1,0,0,"06,07,08"
71,71,02M933,40.753389,-73.997896,0.613,0.07,0.1,0.2,0.47,0.67,0.2,0.95,0.19,0.9,0.95,0.8,0.78,2.64,0,1,0,0,"06,07,08"
72,72,03M009,40.785101,-73.973867,0.221,0.03,0.09,0.05,0.21,0.26,0.59,0.96,0.06,1.0,0.95,0.99,0.9,3.52,1,0,0,0,"PK,0K,01,02,03,04,05"
73,73,03M054,40.800512,-73.962802,0.221,0.02,0.09,0.08,0.12,0.2,0.64,0.96,0.05,0.85,0.83,0.87,0.84,3.58,1,0,0,0,"06,07,08"
74,74,03M075,40.79511,-73.973988,0.599,0.13,0.02,0.23,0.56,0.8,0.16,0.94,0.22,0.93,0.88,0.92,0.92,2.73,1,0,0,0,"0K,01,02,03,04,05"
75,75,03M076,40.806540999999996,-73.951368,0.85,0.09,0.01,0.8,0.16,0.96,0.03,0.9,0.42,0.91,0.95,0.93,0.89,2.3150000000000004,0,1,0,0,"PK,0K,01,02,03,04,05,06,07,08"
76,76,03M084,40.789382,-73.9681,0.5,0.1,0.03,0.13,0.42,0.55,0.38,0.95,0.14,0.92,0.94,0.97,0.89,2.88,0,1,0,0,"PK,0K,01,02,03,04,05"
77,77,03M087,40.781788,-73.978008,0.099,0.04,0.07,0.05,0.15,0.2,0.64,0.96,0.06,0.92,0.8,0.97,0.93,3.485,1,0,0,0,"PK,0K,01,02,03,04,05"
78,78,03M145,40.79909,-73.96535899999998,0.843,0.13,0.02,0.25,0.63,0.88,0.07,0.91,0.35,0.91,0.85,0.89,0.82,2.14,0,0,0,0,"PK,0K,01,02,03,04,05"
79,79,03M149,40.802665999999995,-73.948256,0.883,0.09,0.03,0.64,0.27,0.92,0.02,0.91,0.37,0.83,0.7,0.77,0.81,2.065,0,0,0,1,"PK,0K,01,02,03,04,05,06,07,08"
80,80,03M163,40.794945,-73.968535,0.503,0.07,0.06,0.16,0.46,0.62,0.27,0.95,0.13,0.89,0.82,0.91,0.91,3.145,0,1,0,0,"PK,0K,01,02,03,04,05"
81,81,03M165,40.802678,-73.96595,0.7390000000000001,0.17,0.03,0.14,0.68,0.82,0.13,0.91,0.29,0.87,0.82,0.87,0.86,2.39,0,1,0,0,"PK,0K,01,02,03,04,05,06,07,08"
82,82,03M166,40.788883,-73.97245500000002,0.217,0.02,0.11,0.06,0.17,0.23,0.59,0.96,0.08,0.84,0.86,0.95,0.9,3.42,0,1,0,0,"PK,0K,01,02,03,04,05"
83,83,03M180,40.807609,-73.955839,0.69,0.05,0.01,0.57,0.3,0.87,0.08,0.94,0.19,0.86,0.86,0.86,0.9,2.46,0,0,0,0,"PK,0K,01,02,03,04,05,06,07,08"
84,84,03M191,40.771743,-73.987572,0.758,0.08,0.07,0.36,0.45,0.81,0.11,0.91,0.33,0.82,0.79,0.82,0.88,2.165,0,0,0,0,"PK,0K,01,02,03,04,05"
85,85,03M199,40.777766,-73.984736,0.078,0.03,0.14,0.02,0.13,0.15,0.63,0.96,0.05,0.94,0.93,0.99,0.94,3.52,1,0,0,0,"0K,01,02,03,04,05"
86,86,03M208,40.798341,-73.950453,0.875,0.11,0.03,0.61,0.34,0.95,0.01,0.93,0.26,0.88,0.9,0.82,0.85,2.245,0,0,0,0,"03,04,05"
87,87,03M241,40.801651,-73.95529499999998,0.8490000000000001,0.13,0.03,0.53,0.38,0.91,0.04,0.91,0.33,0.0,0.94,0.91,0.88,1.95,0,0,1,0,"0K,01,02,03,04,05"
88,88,03M242,40.806174,-73.948335,0.8859999999999999,0.07,0.01,0.65,0.29,0.94,0.02,0.9,0.37,0.96,0.76,0.82,0.83,2.35,0,1,0,0,"0K,01,02,03,04,05"
89,89,03M243,40.785101,-73.973867,0.18100000000000002,0.0,0.08,0.15,0.12,0.27,0.61,0.98,0.0,0.96,0.91,0.96,0.91,3.59,1,0,0,0,"05,06,07,08"
90,90,03M245,40.781081,-73.978085,0.304,0.03,0.06,0.14,0.26,0.4,0.5,0.97,0.06,0.9,0.92,0.91,0.86,3.155,1,0,0,0,"06,07,08"
91,91,03M247,40.789382,-73.9681,0.802,0.31,0.0,0.01,0.99,0.99,0.01,0.96,0.07,0.89,0.93,0.92,0.88,2.575,1,0,0,0,"06,07,08"
92,92,03M250,40.79511,-73.973988,0.6609999999999999,0.06,0.02,0.32,0.55,0.87,0.09,0.94,0.18,0.91,0.98,0.91,0.82,2.525,1,0,0,0,"06,07,08"
93,93,03M256,40.791685,-73.97077,0.778,0.19,0.02,0.51,0.38,0.88,0.07,0.88,0.38,0.83,0.89,0.8,0.83,2.185,0,1,0,0,"06,07,08"
94,94,03M258,40.791685,-73.97077,0.73,0.03,0.02,0.45,0.43,0.87,0.11,0.94,0.15,0.96,0.96,0.87,0.82,2.455,0,1,0,0,"06,07,08"
95,95,03M333,40.791685,-73.97077,0.233,0.01,0.07,0.11,0.17,0.27,0.62,0.95,0.09,0.93,0.87,0.88,0.94,3.06,0,1,0,0,"0K,01,02,03,04,05,06,07,08"
96,96,03M334,40.781081,-73.978085,0.134,0.0,0.28,0.04,0.09,0.13,0.53,0.98,0.01,0.9,0.9,0.92,0.93,4.04,1,0,0,0,"0K,01,02,03,04,05,06,07,08"
97,97,03M415,40.802284,-73.95408,0.7909999999999999,0.05,0.02,0.53,0.44,0.96,0.01,0.93,0.23,0.86,0.77,0.82,0.77,2.015,0,0,0,1,"06,07,08,09,10,11,12"
98,98,03M421,40.79909,-73.96535899999998,0.767,0.05,0.02,0.52,0.39,0.91,0.05,0.92,0.25,0.9,0.97,0.83,0.86,2.38,0,1,0,0,"06,07,08"
99,99,03M452,40.781081,-73.978085,0.162,0.02,0.1,0.08,0.13,0.21,0.64,0.96,0.09,0.97,0.98,0.99,0.94,3.325,0,1,0,0,"0K,01,02,03,04,05"
100,100,03M859,40.775221,-73.982997,0.253,0.01,0.16,0.13,0.14,0.28,0.43,0.96,0.07,0.96,0.97,0.91,0.91,3.76,1,0,0,0,"0K,01,02,03,04,05,06,07,08,09,10,11,12"
101,101,03M860,40.802284,-73.95408,0.7859999999999999,0.08,0.02,0.68,0.27,0.95,0.01,0.88,0.34,0.76,0.76,0.81,0.76,2.27,0,1,0,0,"06,07,08,09,10,11,12"
102,102,03M862,40.802678,-73.96595,0.47700000000000004,0.02,0.06,0.26,0.37,0.63,0.26,0.96,0.08,0.83,0.95,0.89,0.84,3.17,0,1,0,0,"06,07,08"
103,103,04M007,40.800631,-73.939323,0.899,0.12,0.03,0.3,0.62,0.92,0.04,0.9,0.34,0.9,0.86,0.83,0.84,2.475,1,0,0,0,"PK,0K,01,02,03,04,05,06,07,08"
104,104,04M012,40.792590000000004,-73.94211899999998,0.435,0.0,0.34,0.25,0.19,0.44,0.15,0.97,0.05,0.92,0.92,0.91,0.87,3.765,1,0,0,0,"0K,01,02,03,04,05,06,07,08"
105,105,04M037,40.796906,-73.929978,0.779,0.04,0.0,0.45,0.51,0.96,0.02,0.92,0.28,0.9,0.88,0.92,0.86,2.47,0,1,0,0,"0K,01,02,03,04,05"
106,106,04M038,40.788684,-73.944766,0.915,0.1,0.04,0.31,0.61,0.91,0.02,0.88,0.5,0.87,0.77,0.76,0.82,2.13,0,1,0,0,"PK,0K,01,02,03,04,05"
107,107,04M050,40.785868,-73.940587,0.89,0.1,0.01,0.45,0.53,0.98,0.0,0.87,0.49,0.87,0.74,0.89,0.79,2.085,0,0,0,1,"0K,01,02,03,04,05,06,07,08"
108,108,04M057,40.797156,-73.941285,0.885,0.12,0.04,0.26,0.67,0.93,0.02,0.92,0.28,0.92,0.85,0.85,0.82,2.515,1,0,0,0,"PK,0K,01,02,03,04,05,06,07,08"
109,109,04M072,40.791451,-73.947448,0.866,0.11,0.01,0.13,0.83,0.95,0.03,0.92,0.3,0.9,0.9,0.94,0.87,2.36,0,1,0,0,"PK,0K,01,02,03,04,05,06,07,08"
110,110,04M083,40.79313,-73.941812,0.772,0.09,0.13,0.2,0.64,0.84,0.03,0.93,0.25,0.88,0.9,0.9,0.87,2.78,1,0,0,0,"PK,0K,01,02,03,04,05"
111,111,04M096,40.799987,-73.937388,0.902,0.18,0.02,0.26,0.68,0.94,0.03,0.91,0.37,0.88,0.85,0.89,0.77,2.1,0,1,0,0,"PK,0K,01,02,03,04,05,06,07,08"
112,112,04M102,40.79495,-73.938295,0.833,0.12,0.08,0.3,0.55,0.85,0.04,0.91,0.35,0.86,0.78,0.84,0.87,2.355,0,1,0,0,"PK,0K,01,02,03,04,05"
113,113,04M108,40.795035,-73.947872,0.843,0.13,0.05,0.28,0.64,0.92,0.01,0.91,0.34,0.87,0.8,0.86,0.83,2.3,0,1,0,0,"PK,0K,01,02,03,04,05,06,07,08"
114,114,04M146,40.7897,-73.939094,0.903,0.19,0.03,0.26,0.68,0.94,0.02,0.92,0.29,0.77,0.71,0.8,0.9,2.165,0,1,0,0,"PK,0K,01,02,03,04,05"
115,115,04M155,40.797495,-73.936193,0.902,0.4,0.02,0.11,0.87,0.97,0.0,0.93,0.25,0.84,0.79,0.91,0.85,2.165,0,1,0,0,"PK,0K,01,02,03,04,05"
116,116,04M171,40.792304,-73.951449,0.7509999999999999,0.03,0.05,0.25,0.63,0.89,0.04,0.94,0.19,0.92,0.83,0.95,0.87,2.965,1,0,0,0,"PK,0K,01,02,03,04,05,06,07,08"
117,117,04M182,40.79313,-73.941812,0.8590000000000001,0.36,0.01,0.07,0.91,0.99,0.0,0.94,0.18,0.93,0.85,0.91,0.84,2.54,0,1,0,0,"0K,01,02,03,04,05"
118,118,04M206,40.796906,-73.929978,0.8170000000000001,0.14,0.04,0.26,0.61,0.87,0.06,0.93,0.25,0.83,0.85,0.85,0.82,2.45,0,1,0,0,"03,04,05"
119,119,04M224,40.785027,-73.942008,0.708,0.02,0.05,0.36,0.51,0.87,0.07,0.93,0.23,0.88,0.88,0.86,0.79,2.67,0,1,0,0,"06,07,08"
120,120,04M372,40.792590000000004,-73.94211899999998,0.836,0.28,0.01,0.15,0.82,0.97,0.02,0.91,0.35,0.87,0.77,0.84,0.77,2.135,0,1,0,0,"06,07,08,09,10,11,12"
121,121,04M375,40.796046000000004,-73.944549,0.917,0.09,0.05,0.41,0.5,0.91,0.01,0.92,0.27,0.89,0.86,0.89,0.86,2.24,0,1,0,0,"PK,0K,01,02,03,04,05"
122,122,04M377,40.797495,-73.936193,0.865,0.1,0.01,0.45,0.53,0.98,0.01,0.9,0.32,0.89,0.93,0.88,0.9,2.235,0,1,0,1,"06,07,08"
123,123,04M406,40.800631,-73.939323,0.85,0.11,0.03,0.4,0.56,0.97,0.01,0.95,0.15,0.89,0.99,0.88,0.81,2.315,1,0,0,0,"06,07,08"
124,124,04M497,40.793746999999996,-73.948572,0.38299999999999995,0.01,0.09,0.2,0.29,0.49,0.28,0.95,0.14,1.0,0.97,0.98,0.96,2.625,0,0,0,0,"PK,0K,01,02,03,04,05"
125,125,04M610,40.792935,-73.947168,0.722,0.02,0.09,0.25,0.6,0.85,0.04,0.95,0.16,0.9,0.97,0.87,0.72,2.615,0,1,0,0,"06,07,08,09,10,11,12"
126,126,04M825,40.794167,-73.932694,0.8420000000000001,0.09,0.05,0.29,0.64,0.94,0.01,0.93,0.23,0.84,0.87,0.85,0.8,2.1950000000000003,0,1,0,0,"06,07,08,SE"
127,127,04M964,40.792304,-73.951449,0.46,0.01,0.06,0.29,0.31,0.6,0.25,0.93,0.18,0.95,0.98,0.97,0.94,3.02,0,1,0,0,"0K,01,02,03,04,05,06,07,08,SE"
128,128,05M030,40.805584,-73.935484,0.8959999999999999,0.09,0.02,0.47,0.47,0.94,0.03,0.89,0.4,0.94,0.91,0.92,0.88,2.225,0,0,0,0,"PK,0K,01,02,03,04,05"
129,129,05M036,40.810705,-73.957404,0.8390000000000001,0.07,0.01,0.45,0.51,0.97,0.01,0.9,0.44,0.9,0.81,0.83,0.82,2.245,0,0,0,0,"PK,0K,01,02,03,04,05"
130,130,05M046,40.831496,-73.936154,0.903,0.09,0.01,0.5,0.48,0.97,0.01,0.9,0.39,0.91,0.89,0.85,0.8,2.19,0,0,0,0,"PK,0K,01,02,03,04,05,06"
131,131,05M092,40.814949,-73.945808,0.897,0.12,0.01,0.61,0.34,0.95,0.03,0.9,0.37,0.87,0.88,0.91,0.86,2.21,0,0,0,0,"PK,0K,01,02,03,04,05"
