,Location Code,District,Latitude,Longitude,Zip,Grades,Community School?,Economic Need Index,Percent ELL,Percent Asian,Percent Black,Percent Hispanic,Percent Black / Hispanic,Percent White,Percent of Students Chronically Absent,Rigorous Instruction %,Collaborative Teachers %,Supportive Environment %,Strong Family-Community Ties %,Student Achievement Rating,Total Proficiency,Grade_cats,SA_Rating_Approaching Target,SA_Rating_Exceeding Target,SA_Rating_Meeting Target,SA_Rating_Not Meeting Target,Community_School_Yes
59,02M289,2,40.716867,-74.013623,10282,"06,07,08",No,0.313,0.01,0.38,0.08,0.13,0.21,0.38,0.02,0.91,0.97,0.82,0.84,Meeting Target,6.4399999999999995,Elem_Middle,0,0,1,0,0
60,02M290,2,40.775137,-73.952812,10028,"0K,01,02,03,04,05",No,0.064,0.03,0.11,0.01,0.09,0.1,0.73,0.06,0.92,0.96,0.97,0.93,Exceeding Target,7.12,Elem_Middle,0,1,0,0,0
61,02M312,2,40.742571000000005,-74.002371,10011,"06,07,08",No,0.308,0.01,0.47,0.02,0.07,0.1,0.34,0.02,0.88,0.91,0.9,0.85,Exceeding Target,7.5600000000000005,Elem_Middle,0,1,0,0,0
63,02M347,2,40.738621,-73.981534,10010,"PK,0K,01,02,03,04,05,06,07,08",No,0.812,0.06,0.04,0.22,0.46,0.68,0.23,0.29,0.82,0.68,0.91,0.82,Meeting Target,4.55,Elem_Middle,0,0,1,0,0
64,02M397,2,40.711057000000004,-74.005361,10018,"0K,01,02,03,04,05,06,07,08",No,0.059000000000000004,0.02,0.14,0.03,0.12,0.15,0.58,0.06,0.97,0.93,0.97,0.94,Exceeding Target,6.87,Elem_Middle,0,1,0,0,0
65,02M407,2,40.732676,-73.982576,10003,"06,07,08,09,10,11,12",No,0.258,0.0,0.07,0.16,0.16,0.32,0.55,0.13,0.94,0.98,0.9,0.89,Approaching Target,6.23,with_high,1,0,0,0,0
66,02M408,2,40.761328999999996,-73.98866899999999,10036,"06,07,08,09,10,11,12",No,0.33,0.0,0.05,0.23,0.2,0.43,0.44,0.09,0.9,0.86,0.84,0.75,Exceeding Target,6.82,with_high,0,1,0,0,0
67,02M413,2,40.739095,-73.985349,10010,"06,07,08,09,10,11,12",No,0.358,0.01,0.15,0.11,0.29,0.4,0.37,0.06,0.88,0.96,0.88,0.76,Meeting Target,6.26,with_high,0,0,1,0,0
68,02M422,2,40.743368,-74.00254699999999,10011,"06,07,08,09,10,11,12",No,0.406,0.03,0.11,0.19,0.35,0.54,0.29,0.11,0.83,0.79,0.82,0.8,Meeting Target,5.699999999999999,with_high,0,0,1,0,0
69,02M442,2,40.73854,-73.989485,10003,"04,05,06,07,08",No,0.46799999999999997,0.0,0.36,0.25,0.16,0.41,0.19,0.07,0.98,0.98,0.92,0.84,Exceeding Target,6.859999999999999,Elem_Middle,0,1,0,0,0
71,02M655,2,40.783283000000004,-73.945937,10128,"06,07,08,09,10,11,12",No,0.765,0.06,0.05,0.31,0.6,0.91,0.02,0.3,0.9,0.9,0.77,0.65,Approaching Target,4.19,with_high,1,0,0,0,0
72,02M896,2,40.705442,-74.012888,10004,"06,07,08",No,0.564,0.08,0.4,0.09,0.2,0.29,0.27,0.08,0.84,0.93,0.9,0.85,Meeting Target,5.65,Elem_Middle,0,0,1,0,0
73,02M933,2,40.753389,-73.997896,10001,"06,07,08",No,0.613,0.07,0.1,0.2,0.47,0.67,0.2,0.19,0.9,0.95,0.8,0.78,Meeting Target,5.28,Elem_Middle,0,0,1,0,0
74,03M009,3,40.785101,-73.973867,10024,"PK,0K,01,02,03,04,05",No,0.221,0.03,0.09,0.05,0.21,0.26,0.59,0.06,1.0,0.95,0.99,0.9,Exceeding Target,7.04,Elem_Middle,0,1,0,0,0
75,03M054,3,40.800512,-73.962802,10025,"06,07,08",No,0.221,0.02,0.09,0.08,0.12,0.2,0.64,0.05,0.85,0.83,0.87,0.84,Exceeding Target,7.16,Elem_Middle,0,1,0,0,0
76,03M075,3,40.79511,-73.973988,10025,"0K,01,02,03,04,05",No,0.599,0.13,0.02,0.23,0.56,0.8,0.16,0.22,0.93,0.88,0.92,0.92,Exceeding Target,5.46,Elem_Middle,0,1,0,0,0
77,03M076,3,40.806540999999996,-73.951368,10027,"PK,0K,01,02,03,04,05,06,07,08",No,0.85,0.09,0.01,0.8,0.16,0.96,0.03,0.42,0.91,0.95,0.93,0.89,Meeting Target,4.630000000000001,Elem_Middle,0,0,1,0,0
78,03M084,3,40.789382,-73.9681,10025,"PK,0K,01,02,03,04,05",No,0.5,0.1,0.03,0.13,0.42,0.55,0.38,0.14,0.92,0.94,0.97,0.89,Meeting Target,5.76,Elem_Middle,0,0,1,0,0
79,03M087,3,40.781788,-73.978008,10024,"PK,0K,01,02,03,04,05",No,0.099,0.04,0.07,0.05,0.15,0.2,0.64,0.06,0.92,0.8,0.97,0.93,Exceeding Target,6.97,Elem_Middle,0,1,0,0,0
80,03M145,3,40.79909,-73.96535899999999,10025,"PK,0K,01,02,03,04,05",No,0.843,0.13,0.02,0.25,0.63,0.88,0.07,0.35,0.91,0.85,0.89,0.82,Approaching Target,4.28,Elem_Middle,1,0,0,0,0
81,03M149,3,40.802665999999995,-73.948256,10026,"PK,0K,01,02,03,04,05,06,07,08",Yes,0.883,0.09,0.03,0.64,0.27,0.92,0.02,0.37,0.83,0.7,0.77,0.81,Approaching Target,4.13,Elem_Middle,1,0,0,0,1
82,03M163,3,40.794945,-73.968535,10025,"PK,0K,01,02,03,04,05",No,0.503,0.07,0.06,0.16,0.46,0.62,0.27,0.13,0.89,0.82,0.91,0.91,Meeting Target,6.29,Elem_Middle,0,0,1,0,0
83,03M165,3,40.802678,-73.96595,10025,"PK,0K,01,02,03,04,05,06,07,08",No,0.7390000000000001,0.17,0.03,0.14,0.68,0.82,0.13,0.29,0.87,0.82,0.87,0.86,Meeting Target,4.78,Elem_Middle,0,0,1,0,0
84,03M166,3,40.788883,-73.97245500000001,10024,"PK,0K,01,02,03,04,05",No,0.217,0.02,0.11,0.06,0.17,0.23,0.59,0.08,0.84,0.86,0.95,0.9,Meeting Target,6.84,Elem_Middle,0,0,1,0,0
85,03M180,3,40.807609,-73.955839,10027,"PK,0K,01,02,03,04,05,06,07,08",No,0.69,0.05,0.01,0.57,0.3,0.87,0.08,0.19,0.86,0.86,0.86,0.9,Approaching Target,4.92,Elem_Middle,1,0,0,0,0
86,03M191,3,40.771743,-73.987572,10023,"PK,0K,01,02,03,04,05",No,0.758,0.08,0.07,0.36,0.45,0.81,0.11,0.33,0.82,0.79,0.82,0.88,Approaching Target,4.33,Elem_Middle,1,0,0,0,0
87,03M199,3,40.777766,-73.984736,10023,"0K,01,02,03,04,05",No,0.078,0.03,0.14,0.02,0.13,0.15,0.63,0.05,0.94,0.93,0.99,0.94,Exceeding Target,7.04,Elem_Middle,0,1,0,0,0
88,03M208,3,40.798341,-73.950453,10026,"03,04,05",No,0.875,0.11,0.03,0.61,0.34,0.95,0.01,0.26,0.88,0.9,0.82,0.85,Approaching Target,4.49,Elem_Middle,1,0,0,0,0
89,03M241,3,40.801651,-73.95529499999999,10026,"0K,01,02,03,04,05",No,0.8490000000000001,0.13,0.03,0.53,0.38,0.91,0.04,0.33,0.0,0.94,0.91,0.88,Not Meeting Target,3.9,Elem_Middle,0,0,0,1,0
90,03M242,3,40.806174,-73.948335,10027,"0K,01,02,03,04,05",No,0.8859999999999999,0.07,0.01,0.65,0.29,0.94,0.02,0.37,0.96,0.76,0.82,0.83,Meeting Target,4.7,Elem_Middle,0,0,1,0,0
91,03M243,3,40.785101,-73.973867,10024,"05,06,07,08",No,0.18100000000000002,0.0,0.08,0.15,0.12,0.27,0.61,0.0,0.96,0.91,0.96,0.91,Exceeding Target,7.18,Elem_Middle,0,1,0,0,0
92,03M245,3,40.781081,-73.978085,10024,"06,07,08",No,0.304,0.03,0.06,0.14,0.26,0.4,0.5,0.06,0.9,0.92,0.91,0.86,Exceeding Target,6.3100000000000005,Elem_Middle,0,1,0,0,0
93,03M247,3,40.789382,-73.9681,10025,"06,07,08",No,0.802,0.31,0.0,0.01,0.99,0.99,0.01,0.07,0.89,0.93,0.92,0.88,Exceeding Target,5.15,Elem_Middle,0,1,0,0,0
94,03M250,3,40.79511,-73.973988,10025,"06,07,08",No,0.6609999999999999,0.06,0.02,0.32,0.55,0.87,0.09,0.18,0.91,0.98,0.91,0.82,Exceeding Target,5.05,Elem_Middle,0,1,0,0,0
95,03M256,3,40.791685,-73.97077,10025,"06,07,08",No,0.778,0.19,0.02,0.51,0.38,0.88,0.07,0.38,0.83,0.89,0.8,0.83,Meeting Target,4.37,Elem_Middle,0,0,1,0,0
96,03M258,3,40.791685,-73.97077,10025,"06,07,08",No,0.73,0.03,0.02,0.45,0.43,0.87,0.11,0.15,0.96,0.96,0.87,0.82,Meeting Target,4.91,Elem_Middle,0,0,1,0,0
98,03M333,3,40.791685,-73.97077,10025,"0K,01,02,03,04,05,06,07,08",No,0.233,0.01,0.07,0.11,0.17,0.27,0.62,0.09,0.93,0.87,0.88,0.94,Meeting Target,6.119999999999999,Elem_Middle,0,0,1,0,0
99,03M334,3,40.781081,-73.978085,10024,"0K,01,02,03,04,05,06,07,08",No,0.134,0.0,0.28,0.04,0.09,0.13,0.53,0.01,0.9,0.9,0.92,0.93,Exceeding Target,8.08,Elem_Middle,0,1,0,0,0
100,03M415,3,40.802284,-73.95408,10026,"06,07,08,09,10,11,12",Yes,0.7909999999999999,0.05,0.02,0.53,0.44,0.96,0.01,0.23,0.86,0.77,0.82,0.77,Approaching Target,4.03,with_high,1,0,0,0,1
101,03M421,3,40.79909,-73.96535899999999,10025,"06,07,08",No,0.767,0.05,0.02,0.52,0.39,0.91,0.05,0.25,0.9,0.97,0.83,0.86,Meeting Target,4.76,Elem_Middle,0,0,1,0,0
102,03M452,3,40.781081,-73.978085,10024,"0K,01,02,03,04,05",No,0.162,0.02,0.1,0.08,0.13,0.21,0.64,0.09,0.97,0.98,0.99,0.94,Meeting Target,6.65,Elem_Middle,0,0,1,0,0
103,03M859,3,40.775221,-73.982997,10023,"0K,01,02,03,04,05,06,07,08,09,10,11,12",No,0.253,0.01,0.16,0.13,0.14,0.28,0.43,0.07,0.96,0.97,0.91,0.91,Exceeding Target,7.52,K_to_12,0,1,0,0,0
104,03M860,3,40.802284,-73.95408,10026,"06,07,08,09,10,11,12",No,0.7859999999999999,0.08,0.02,0.68,0.27,0.95,0.01,0.34,0.76,0.76,0.81,0.76,Meeting Target,4.54,with_high,0,0,1,0,0
105,03M862,3,40.802678,-73.96595,10025,"06,07,08",No,0.47700000000000004,0.02,0.06,0.26,0.37,0.63,0.26,0.08,0.83,0.95,0.89,0.84,Meeting Target,6.34,Elem_Middle,0,0,1,0,0
106,04M007,4,40.800631,-73.939323,10035,"PK,0K,01,02,03,04,05,06,07,08",No,0.899,0.12,0.03,0.3,0.62,0.92,0.04,0.34,0.9,0.86,0.83,0.84,Exceeding Target,4.95,Elem_Middle,0,1,0,0,0
107,04M012,4,40.792590000000004,-73.94211899999999,10029,"0K,01,02,03,04,05,06,07,08",No,0.435,0.0,0.34,0.25,0.19,0.44,0.15,0.05,0.92,0.92,0.91,0.87,Exceeding Target,7.53,Elem_Middle,0,1,0,0,0
108,04M037,4,40.796906,-73.929978,10035,"0K,01,02,03,04,05",No,0.779,0.04,0.0,0.45,0.51,0.96,0.02,0.28,0.9,0.88,0.92,0.86,Meeting Target,4.9399999999999995,Elem_Middle,0,0,1,0,0
109,04M038,4,40.788684,-73.944766,10029,"PK,0K,01,02,03,04,05",No,0.915,0.1,0.04,0.31,0.61,0.91,0.02,0.5,0.87,0.77,0.76,0.82,Meeting Target,4.26,Elem_Middle,0,0,1,0,0
110,04M050,4,40.785868,-73.940587,10029,"0K,01,02,03,04,05,06,07,08",Yes,0.89,0.1,0.01,0.45,0.53,0.98,0.0,0.49,0.87,0.74,0.89,0.79,Approaching Target,4.17,Elem_Middle,1,0,0,0,1
111,04M057,4,40.797156,-73.941285,10029,"PK,0K,01,02,03,04,05,06,07,08",No,0.885,0.12,0.04,0.26,0.67,0.93,0.02,0.28,0.92,0.85,0.85,0.82,Exceeding Target,5.029999999999999,Elem_Middle,0,1,0,0,0
112,04M072,4,40.791451,-73.947448,10029,"PK,0K,01,02,03,04,05,06,07,08",No,0.866,0.11,0.01,0.13,0.83,0.95,0.03,0.3,0.9,0.9,0.94,0.87,Meeting Target,4.72,Elem_Middle,0,0,1,0,0
113,04M083,4,40.79313,-73.941812,10029,"PK,0K,01,02,03,04,05",No,0.772,0.09,0.13,0.2,0.64,0.84,0.03,0.25,0.88,0.9,0.9,0.87,Exceeding Target,5.56,Elem_Middle,0,1,0,0,0
114,04M096,4,40.799987,-73.937388,10035,"PK,0K,01,02,03,04,05,06,07,08",No,0.902,0.18,0.02,0.26,0.68,0.94,0.03,0.37,0.88,0.85,0.89,0.77,Meeting Target,4.199999999999999,Elem_Middle,0,0,1,0,0
